"(0.46686932373046874, 0.04548983154296875, 10.158597644042969)","(5.1, 7.199999999999999, 72.45)"
"(0.41898529052734373, 0.08379705810546874, 10.168174450683592)","(5.7, 7.35, 73.35)"
"(0.4213794921875, 0.0718260498046875, 10.144232434082031)","(6.3, 7.6499999999999995, 74.1)"
"(0.41419688720703124, 0.031124621582031248, 10.127473022460936)","(5.7, 8.4, 73.8)"
"(0.3902548706054687, 0.0430956298828125, 10.096348400878906)","(5.7, 8.4, 71.55)"
"(0.3711012573242187, 0.06464344482421874, 10.149020837402343)","(6.3, 8.85, 74.1)"
"(0.41898529052734373, 0.0383072265625, 10.084377392578125)","(6.75, 7.6499999999999995, 72.6)"
"(0.411802685546875, 0.05027823486328125, 10.177751257324218)","(7.8, 6.1499999999999995, 74.85)"
"(0.3854664672851562, 0.0526724365234375, 10.175357055664062)","(7.05, 8.4, 74.1)"
"(0.3399766357421875, -0.01915361328125, 10.177751257324218)","(5.85, 9.75, 73.95)"
"(0.411802685546875, 0.06464344482421874, 10.156203442382813)","(7.05, 8.4, 73.8)"
"(0.4070142822265625, -0.0047884033203125, 10.12507882080078)","(6.6, 6.75, 72.89999999999999)"
"(0.40222587890625, 0.023942016601562498, 10.115502014160155)","(7.35, 7.949999999999999, 72.45)"
"(0.35194764404296874, 0.0143652099609375, 10.117896215820313)","(7.35, 7.5, 74.7)"
"(0.36391865234375, 0.0, 10.117896215820313)","(7.6499999999999995, 10.2, 72.45)"
"(0.41419688720703124, 0.047884033203124995, 10.12507882080078)","(5.85, 7.5, 72.45)"
"(0.36391865234375, -0.023942016601562498, 10.16338604736328)","(6.0, 7.6499999999999995, 73.8)"
"(0.35673604736328124, 0.055066638183593745, 10.156203442382813)","(6.8999999999999995, 7.5, 72.45)"
"(0.40222587890625, 0.0383072265625, 10.091559997558592)","(5.7, 7.6499999999999995, 72.6)"
"(0.34237083740234375, 0.0526724365234375, 10.067617980957031)","(6.3, 8.1, 72.3)"
"(0.36631285400390623, 0.031124621582031248, 10.144232434082031)","(6.3, 8.4, 73.8)"
"(0.3902548706054687, 0.0718260498046875, 10.139444030761718)","(6.6, 7.5, 72.45)"
"(0.36391865234375, 0.009576806640625, 10.177751257324218)","(6.3, 8.1, 72.0)"
"(0.38786066894531246, 0.055066638183593745, 10.137049829101562)","(6.75, 8.85, 74.39999999999999)"
"(0.33518823242187495, 0.02633621826171875, 10.151415039062499)","(6.1499999999999995, 7.949999999999999, 73.5)"
"(0.41419688720703124, 0.0526724365234375, 10.204087475585936)","(5.25, 8.4, 73.8)"
"(0.39264907226562495, 0.0143652099609375, 10.105925207519531)","(5.7, 8.4, 74.39999999999999)"
"(0.3711012573242187, 0.06464344482421874, 10.122684619140625)","(7.6499999999999995, 7.5, 73.95)"
"(0.40462008056640625, -0.02154781494140625, 10.153809240722655)","(6.3, 8.85, 73.8)"
"(0.3711012573242187, 0.009576806640625, 10.149020837402343)","(6.1499999999999995, 8.7, 72.45)"
"(0.354341845703125, -0.028730419921875, 10.141838232421874)","(6.8999999999999995, 7.949999999999999, 73.2)"
"(0.39264907226562495, 0.009576806640625, 10.115502014160155)","(6.0, 7.6499999999999995, 72.3)"
"(0.4429273071289062, 0.055066638183593745, 10.117896215820313)","(6.75, 8.4, 72.6)"
"(0.3854664672851562, 0.033518823242187495, 10.156203442382813)","(6.0, 8.4, 74.1)"
"(0.3950432739257812, 0.0143652099609375, 10.158597644042969)","(6.1499999999999995, 7.949999999999999, 73.5)"
"(0.41898529052734373, 0.07900865478515624, 10.175357055664062)","(6.8999999999999995, 8.25, 72.89999999999999)"
"(0.3902548706054687, 0.016759411621093748, 10.101136804199218)","(7.6499999999999995, 7.199999999999999, 73.2)"
"(0.40462008056640625, 0.03591302490234375, 10.127473022460936)","(6.1499999999999995, 6.75, 74.7)"
"(0.4285620971679687, 0.033518823242187495, 10.137049829101562)","(6.75, 8.1, 74.1)"
"(0.39264907226562495, 0.0143652099609375, 10.091559997558592)","(6.0, 7.6499999999999995, 73.8)"
"(0.37828386230468747, 0.02154781494140625, 10.160991845703125)","(5.7, 8.1, 73.8)"
"(0.34237083740234375, 0.0383072265625, 10.146626635742187)","(5.25, 7.6499999999999995, 73.05)"
"(0.3854664672851562, 0.06703764648437499, 10.122684619140625)","(6.6, 8.7, 73.2)"
"(0.36391865234375, -0.02633621826171875, 10.16338604736328)","(6.1499999999999995, 7.949999999999999, 74.25)"
"(0.3399766357421875, 0.06464344482421874, 10.115502014160155)","(6.0, 8.1, 74.1)"
"(0.430956298828125, 0.009576806640625, 10.122684619140625)","(5.85, 7.5, 74.7)"
"(0.411802685546875, 0.00718260498046875, 10.134655627441406)","(6.3, 7.6499999999999995, 74.1)"
"(0.37828386230468747, 0.06464344482421874, 10.127473022460936)","(6.6, 7.949999999999999, 74.25)"
"(0.38786066894531246, 0.0383072265625, 10.160991845703125)","(6.6, 8.7, 72.14999999999999)"
"(0.36391865234375, 0.016759411621093748, 10.16338604736328)","(7.35, 10.2, 74.25)"
"(0.44053310546874996, 0.040701428222656245, 10.12507882080078)","(6.8999999999999995, 8.25, 73.2)"
"(0.4381389038085937, 0.02154781494140625, 10.180145458984374)","(7.05, 8.1, 73.8)"
"(0.39743747558593745, 0.031124621582031248, 10.127473022460936)","(6.6, 8.7, 73.5)"
"(0.39743747558593745, 0.009576806640625, 10.12507882080078)","(6.6, 8.25, 72.14999999999999)"
"(0.3758896606445312, 0.00239420166015625, 10.101136804199218)","(7.05, 8.85, 73.8)"
"(0.40940848388671874, 0.02633621826171875, 10.127473022460936)","(5.3999999999999995, 8.25, 73.2)"
"(0.36631285400390623, 0.01915361328125, 10.127473022460936)","(6.75, 7.35, 72.3)"
"(0.4261678955078125, 0.05746083984375, 10.137049829101562)","(5.3999999999999995, 7.949999999999999, 73.95)"
"(0.40940848388671874, 0.031124621582031248, 10.12507882080078)","(5.7, 8.4, 72.6)"
"(0.36152445068359373, 0.05027823486328125, 10.072406384277343)","(6.3, 8.4, 73.05)"
"(0.4333505004882812, 0.07422025146484375, 10.153809240722655)","(7.35, 7.949999999999999, 74.7)"
"(0.32561142578124996, 0.047884033203124995, 10.13226142578125)","(6.75, 8.1, 72.6)"
"(0.38786066894531246, 0.055066638183593745, 10.108319409179687)","(6.3, 7.6499999999999995, 72.6)"
"(0.43574470214843747, -0.011971008300781249, 10.139444030761718)","(5.7, 8.1, 73.35)"
"(0.3854664672851562, 0.033518823242187495, 10.149020837402343)","(6.1499999999999995, 9.45, 73.5)"
"(0.4261678955078125, -0.016759411621093748, 10.127473022460936)","(7.5, 8.85, 73.8)"
"(0.40940848388671874, 0.05027823486328125, 10.141838232421874)","(5.3999999999999995, 8.7, 73.5)"
"(0.40462008056640625, 0.040701428222656245, 10.129867224121092)","(6.75, 7.35, 73.8)"
"(0.488417138671875, 0.011971008300781249, 10.120290417480469)","(5.85, 7.949999999999999, 73.5)"
"(0.39983167724609375, -0.01915361328125, 10.146626635742187)","(5.85, 8.25, 72.89999999999999)"
"(0.4572925170898437, -0.02154781494140625, 10.175357055664062)","(5.85, 7.949999999999999, 74.25)"
"(0.42377369384765623, 0.0718260498046875, 10.151415039062499)","(5.85, 8.7, 73.2)"
"(0.4213794921875, 0.05985504150390625, 10.175357055664062)","(4.5, 8.1, 72.3)"
"(0.41898529052734373, 0.016759411621093748, 10.141838232421874)","(5.85, 8.7, 72.89999999999999)"
"(0.37828386230468747, 0.0143652099609375, 10.122684619140625)","(6.1499999999999995, 8.25, 74.25)"
"(0.4213794921875, 0.028730419921875, 10.144232434082031)","(6.1499999999999995, 8.7, 73.2)"
"(0.4213794921875, 0.00718260498046875, 10.141838232421874)","(6.6, 7.949999999999999, 74.25)"
"(0.39983167724609375, 0.02633621826171875, 10.134655627441406)","(7.8, 8.4, 74.1)"
"(0.4525041137695312, 0.0526724365234375, 10.120290417480469)","(6.0, 8.4, 72.6)"
"(0.41898529052734373, 0.0430956298828125, 10.172962854003906)","(6.0, 8.4, 72.3)"
"(0.36152445068359373, 0.0526724365234375, 10.168174450683592)","(6.75, 8.1, 73.8)"
"(0.3950432739257812, 0.047884033203124995, 10.122684619140625)","(6.6, 8.25, 72.89999999999999)"
"(0.47165772705078124, 0.03591302490234375, 10.156203442382813)","(7.5, 8.1, 73.05)"
"(0.4381389038085937, 0.086191259765625, 10.156203442382813)","(5.3999999999999995, 6.75, 73.2)"
"(0.36631285400390623, 0.05746083984375, 10.156203442382813)","(6.1499999999999995, 7.199999999999999, 73.5)"
"(0.4213794921875, 0.023942016601562498, 10.1131078125)","(6.75, 8.1, 73.35)"
"(0.41419688720703124, 0.06943184814453125, 10.110713610839843)","(7.05, 8.4, 73.05)"
"(0.3950432739257812, 0.02154781494140625, 10.134655627441406)","(6.8999999999999995, 8.25, 73.2)"
"(0.3902548706054687, 0.01915361328125, 10.101136804199218)","(6.75, 9.299999999999999, 73.35)"
"(0.43574470214843747, 0.0526724365234375, 10.146626635742187)","(6.75, 9.6, 72.6)"
"(0.44053310546874996, 0.02633621826171875, 10.149020837402343)","(6.8999999999999995, 8.25, 73.5)"
"(0.411802685546875, 0.06703764648437499, 10.149020837402343)","(7.35, 8.25, 73.2)"
"(0.4165910888671875, 0.062249243164062495, 10.156203442382813)","(8.4, 8.25, 73.5)"
"(0.40462008056640625, 0.02633621826171875, 10.09395419921875)","(6.8999999999999995, 7.949999999999999, 72.14999999999999)"
"(0.3758896606445312, 0.0526724365234375, 10.158597644042969)","(6.8999999999999995, 7.199999999999999, 73.2)"
"(0.37828386230468747, 0.040701428222656245, 10.151415039062499)","(4.5, 8.1, 74.1)"
"(0.45489831542968745, 0.062249243164062495, 10.089165795898436)","(6.1499999999999995, 8.25, 73.5)"
"(0.3902548706054687, -0.03591302490234375, 10.09395419921875)","(5.7, 9.299999999999999, 72.3)"
"(0.3758896606445312, 0.03591302490234375, 10.129867224121092)","(5.85, 8.25, 72.14999999999999)"
"(0.38786066894531246, 0.031124621582031248, 10.194510668945313)","(5.85, 7.949999999999999, 73.2)"
"(0.3950432739257812, 0.08858546142578125, 10.158597644042969)","(7.949999999999999, 7.949999999999999, 74.25)"
"(0.3950432739257812, -0.00718260498046875, 10.120290417480469)","(6.3, 7.35, 72.6)"
"(0.3591302490234375, 0.040701428222656245, 10.165780249023436)","(7.35, 7.5, 73.5)"
"(0.38307226562499996, 0.0430956298828125, 10.108319409179687)","(5.7, 8.4, 70.5)"
"(0.37828386230468747, 0.055066638183593745, 10.122684619140625)","(6.0, 9.299999999999999, 73.05)"
"(0.3950432739257812, 0.047884033203124995, 10.141838232421874)","(6.1499999999999995, 7.949999999999999, 72.45)"
"(0.4429273071289062, 0.02154781494140625, 10.146626635742187)","(5.7, 8.85, 73.35)"
"(0.4165910888671875, 0.06703764648437499, 10.158597644042969)","(6.0, 8.85, 72.3)"
"(0.38307226562499996, 0.011971008300781249, 10.105925207519531)","(7.05, 8.4, 72.6)"
"(0.41898529052734373, 0.031124621582031248, 10.160991845703125)","(7.35, 7.949999999999999, 72.89999999999999)"
"(0.38307226562499996, 0.06703764648437499, 10.129867224121092)","(6.6, 7.949999999999999, 73.2)"
"(0.4070142822265625, 0.07422025146484375, 10.137049829101562)","(7.05, 8.4, 71.55)"
"(0.3758896606445312, -0.00239420166015625, 10.158597644042969)","(5.7, 8.1, 74.1)"
"(0.28969840087890625, 0.02633621826171875, 10.158597644042969)","(7.35, 8.25, 72.45)"
"(0.38307226562499996, 0.0430956298828125, 10.16338604736328)","(8.25, 7.35, 73.8)"
"(0.38307226562499996, 0.03591302490234375, 10.172962854003906)","(5.25, 8.1, 73.8)"
"(0.38786066894531246, 0.009576806640625, 10.180145458984374)","(6.75, 8.1, 74.1)"
"(0.40940848388671874, 0.00239420166015625, 10.084377392578125)","(7.6499999999999995, 7.949999999999999, 73.95)"
"(0.39743747558593745, 0.05985504150390625, 10.098742602539062)","(6.6, 7.5, 72.89999999999999)"
"(0.3950432739257812, 0.0, 10.12507882080078)","(6.3, 8.4, 73.35)"
"(0.4429273071289062, 0.04548983154296875, 10.108319409179687)","(6.3, 8.1, 74.1)"
"(0.40940848388671874, 0.05746083984375, 10.122684619140625)","(5.7, 8.85, 73.8)"
"(0.4213794921875, 0.05746083984375, 10.110713610839843)","(6.1499999999999995, 7.949999999999999, 72.89999999999999)"
"(0.36152445068359373, 0.023942016601562498, 10.12507882080078)","(6.6, 7.949999999999999, 73.5)"
"(0.42377369384765623, 0.00718260498046875, 10.117896215820313)","(5.85, 9.45, 73.5)"
"(0.469263525390625, 0.03591302490234375, 10.101136804199218)","(6.1499999999999995, 7.199999999999999, 74.25)"
"(0.3687070556640625, 0.0718260498046875, 10.149020837402343)","(6.0, 7.6499999999999995, 73.8)"
"(0.430956298828125, 0.02633621826171875, 10.144232434082031)","(5.7, 7.6499999999999995, 73.35)"
"(0.38307226562499996, 0.076614453125, 10.110713610839843)","(5.7, 7.6499999999999995, 73.05)"
"(0.44532150878906246, 0.06703764648437499, 10.127473022460936)","(5.85, 9.0, 73.2)"
"(0.46686932373046874, 0.076614453125, 10.156203442382813)","(7.6499999999999995, 6.75, 73.2)"
"(0.41419688720703124, 0.06703764648437499, 10.137049829101562)","(6.6, 7.949999999999999, 73.95)"
"(0.4070142822265625, 0.0526724365234375, 10.180145458984374)","(6.3, 8.85, 73.35)"
"(0.3950432739257812, 0.040701428222656245, 10.103531005859374)","(5.25, 7.6499999999999995, 73.8)"
"(0.38786066894531246, 0.055066638183593745, 10.177751257324218)","(7.35, 7.949999999999999, 73.2)"
"(0.430956298828125, 0.0718260498046875, 10.127473022460936)","(5.85, 7.949999999999999, 74.25)"
"(0.3806780639648437, -0.02154781494140625, 10.127473022460936)","(6.75, 8.4, 73.05)"
"(0.4213794921875, 0.0526724365234375, 10.134655627441406)","(5.7, 8.4, 74.1)"
"(0.3950432739257812, 0.07900865478515624, 10.144232434082031)","(6.1499999999999995, 9.0, 73.2)"
"(0.4261678955078125, 0.016759411621093748, 10.146626635742187)","(7.35, 7.949999999999999, 73.95)"
"(0.411802685546875, 0.0430956298828125, 10.144232434082031)","(6.75, 7.6499999999999995, 74.85)"
"(0.4261678955078125, 0.040701428222656245, 10.146626635742187)","(6.75, 7.35, 74.39999999999999)"
"(0.3687070556640625, 0.028730419921875, 10.127473022460936)","(6.8999999999999995, 7.199999999999999, 74.25)"
